,city,job_title,company_name,location,summary,salary
1,New+York,"Associate, Data Scientist - Optimization",KPMG,"New York, NY 10154","KPMG is currently seeking an Associate, Data Scientist - Optimization, to join our Advanced Data and Analytics Organization....",Nothing_found
2,New+York,Data Scientist,Plug Power Inc.,"Latham, NY 12110",The Data Scientist will be interacting daily with various departments throughout the company. The Data Scientist will focus on analytical diagnostics and...,Nothing_found
3,New+York,Data Scientist,Darwin Recruitment,"New York, NY",Together we are searching for multiple Data Scientists to join an exciting department that are responsible for the development of various systems that manage...,"$150,000 - $180,000 a year"
4,New+York,Data Science Analyst,Aetna,"New York, NY 10016 (Gramercy area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization....",Nothing_found
5,New+York,"Data Scientist, Personalization and Recommendation",Tumblr,"New York, NY","Data Scientist, Personalization and Recommendation. The candidate should be well-versed in data analysis and algorithm implementation, ready to be let loose on...",Nothing_found
6,New+York,Junior Data Scientist,L2,"New York, NY 10012 (Little Italy area)",L2 is looking for a Junior Data Scientist to work collaboratively with our Research team on projects ranging from data collection to reporting to visualization....,Nothing_found
7,New+York,Technology - GSAM Tech - Data Science and Machine Learning Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer....,Nothing_found
8,New+York,Applied Data Scientists | Open Rank,Data Science Institute of Columbia University,"New York, NY 10027 (Hamilton Heights area)","The Data Science Institute of Columbia University invites applications to our Applied Data Scientist position(s) as candidates for Staff Associate, Senior Staff...",Nothing_found
9,New+York,Statistical/ Database Marketing Analyst,FULLBEAUTY Brands,"New York, NY","MA/MS degree in Statistics, Data Science or related analytical field of study. Capability to execute the complete modeling process from data extraction...",Nothing_found
10,New+York,Data Scientists,FXcompared,"New York, NY",We are looking for full-time Data Scientists to be responsible for analysis and presentation of our data. Normalizing various forms of data....,Nothing_found
11,New+York,"Associate, Data Scientist",Morgan Stanley,"New York, NY 10032 (Washington Heights area)","Seeks an Associate, Data Scientist in New York, New York. Performing data analysis for electronic trading; Requires a Master’s degree in Statistics, Mathematics...",Nothing_found
12,New+York,Data Science Analyst Population Health,Mount Sinai Health System,"New York, NY 10019 (Midtown area)",Identify necessary data and methodologies; Feed data quality issues back to IT to assist in our quest for high quality data....,Nothing_found
13,New+York,Machine Learning,Twitter,"New York, NY","Cortex is a team of software engineers, data scientists, and research scientists dedicated to developing state-of-the-art machine learning capabilities to...",Nothing_found
14,New+York,Data Scientist,Capital One,"New York, NY 10261","Writing software to clean and investigate large, messy data sets of numerical and textual data. Big, undefined problems and petabytes of data don't frighten you...",Nothing_found
15,New+York,Principal Senior Data Scientist,Barnes & Noble College,"New York, NY",Providing day-to-day guidance to a junior data scientists and analysts. BNED LoudCloud is looking for an exceptional senior data scientist in NYC....,Nothing_found
16,Chicago,Data Scientist,Conversant,"Chicago, IL 60601","Analyzing raw source data and derived data; Experience with large data sets. Epsilon is an Alliance Data company....
read more",Nothing_found
17,Chicago,Data Scientist,"Vizient, Inc.","Chicago, IL 60606","Conducts exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities....
read more",Nothing_found
18,Chicago,Data Scientist,CVS Health,"Northbrook, IL","The successful Data Scientist will translate business needs into analytic questions; Consider the position of Data Scientist, where your experience in advanced...
read more",Nothing_found
19,Chicago,Machine Learning & AI Scientist,Lenovo,"Chicago, IL","Create simulations that show how data from image, speech and motion recognition sources can enhance AI on mobile devices.... read more",Nothing_found
20,Chicago,Quantitative Analyst,BMO Financial Group,"Chicago, IL","Evaluating alternative third party data sources, models, or software. Monitoring and verifying our day-to-day data feeds and operational processes.... read more",Nothing_found
21,Chicago,Data Engineer,Pathfinder Search Group,"Chicago, IL",Work closely with Data Scientists on data engineering to prototype cutting edge machine learning models and deploy SaaS solutions to customers.... read more,Nothing_found
22,Chicago,Junior Quantitative Researcher - Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)","Akuna’s Quantitative Trading and Research team is looking to add Junior Quant Researchers to a team of mathematicians, statisticians and technologists. This... read more",Nothing_found
23,Chicago,Data Analytics Engineer Intern,Motorola Solutions,"Chicago, IL 60604 (Loop area)",Data Engineering and Data Science skills and experience are required. This intern will work with data scientists and data engineers in the investigation and... read more,Nothing_found
24,Chicago,Data Science Engineer,Gogo Commercial Aviation,"Chicago, IL","2+ years of experience in data engineering with relational DBs, good grasp of data modeling concepts. Hands-on experience with big data technologies – a plus.... read more",Nothing_found
25,Chicago,Data Analytics Engineer Co-op Intern,Motorola Solutions,"Chicago, IL 60604 (Loop area)",Data Engineering and Data Science skills and experience are required. This intern will work with data scientists and data engineers in the investigation and... read more,Nothing_found
26,Chicago,Quantitative Researcher- Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)","Akuna’s Quantitative Trading and Research team is looking to add Quant Researchers to a team of mathematicians, statisticians and technologists. This team... read more",Nothing_found
27,Chicago,Entry-Level Market Research Analyst,Market Track,"Chicago, IL 60606 (Loop area)",Conduct periodic global reviews of the Internet to identify new data sources for clients. Utilize the CyberAnalyst rules engine to set up data collection and... read more,Nothing_found
28,Chicago,"Data Science Intern, Summer 2018",Groupon,"Chicago, IL 60654 (Loop area)","Modeling historical data to forecast demand, purchase propensity, merchant risk, etc. Marketing and CRM:.... read more",Nothing_found
29,Chicago,Finance Data Scientist,TTX Company,"Chicago, IL 60606","Experience with SAS software such as Financial Management, Enterprise Guide, Forecast Server, Enteprise Miner and Visual Analytics or data management and...
read more",Nothing_found
30,Chicago,Scientist - Data and Statistics,United Airlines Inc.,"Chicago, IL 60601","In-depth knowledge of United/Industry data sources. Drives management decisions through descriptive and inquisitive data analytics using tools such as SAS,...
read more",Nothing_found
